artist	title	album	dAdded	value
Akdong Musician	Give Love	Play	2014-11-01, 1:22 AM	14
Akdong Musician	200%	Play	2014-11-01, 1:22 AM	17
Akdong Musician	얼음들 Melted	Play	2014-11-01, 1:22 AM	11
Akdong Musician	가르마 Hair Part	Play	2014-11-01, 1:22 AM	19
Akdong Musician	인공잔디 Artificial Grass	Play	2014-11-01, 1:22 AM	18
Akdong Musician	안녕 Don't Hate Me	Play	2014-11-01, 1:22 AM	11
Akdong Musician	길이나 Anyway	Play	2014-11-01, 1:22 AM	20
Akdong Musician	소재 Idea	Play	2014-11-01, 1:22 AM	14
Akdong Musician	Galaxy	Play	2014-11-01, 1:22 AM	17
Alan Menken	Zero To Hero	Hercules (An Original Walt Disney Records Soundtrack)	2015-05-01, 8:22 PM	12
Avicii	Broken Arrows	Stories	2015-10-03, 3:01 AM	41
Avicii	Pure Grinding	Stories	2015-10-03, 3:01 AM	14
B1A4	YOU ARE MY GIRL	IGNITION	2014-11-04, 10:46 PM	20
B1A4	걸어 본다	IN THE WIND - B1A4 THE 3rd MINI ALBUM 	2014-11-04, 10:50 PM	18
B1A4	IN THE AIR	IN THE WIND - B1A4 THE 3rd MINI ALBUM 	2014-11-04, 10:50 PM	17
B1A4	없구나 LONELY	Who Am I	2014-11-04, 10:51 PM	31
B1A4	What's Happening	이게 무슨 일이야	2014-11-04, 10:51 PM	23
BIGBANG	Bang Bang Bang	M A D E - Singles	2015-06-29, 1:43 PM	18
BIGBANG	We Like 2 Party	M A D E - Singles	2015-06-29, 1:43 PM	21
BIGBANG	Sober	M A D E - Singles	2015-07-01, 5:34 PM	23
BIGBANG	Zutter (GD & T.O.P)	M A D E - Singles	2015-08-05, 2:00 AM	25
BIGBANG	Let's Not Fall In Love	M A D E - Singles	2015-08-05, 2:00 AM	11
Block B	Mental Breaker	Blockbuster	2014-12-24, 6:14 PM	30
Block B	HER	HER	2015-01-20, 1:24 PM	22
Block B	Jackpot	HER	2015-01-20, 1:24 PM	25
BUMP OF CHICKEN	ray feat. Hatsune Miku	ray - Single	2014-11-21, 6:03 PM	45
CAPSULE	Another World	WAVE RUNNER	2015-06-11, 2:13 AM	13
CAPSULE	Hero	WAVE RUNNER	2015-06-11, 2:13 AM	14
CHiCO with HoneyWorks	プライド革命	プライド革命	2015-10-09, 4:26 PM	15
ClariS	irony	ClariS ~SINGLE BEST 1st~	2015-05-21, 3:35 PM	13
CLASSIXX	A Stranger Love (feat. Sarah Chernoff) (Original Mix)	Hanging Gardens	2015-06-15, 4:03 PM	12
Dave Matthews Band	Crash Into Me	Crash	2015-09-28, 8:24 PM	12
Dixie Flatline	Gemini (feat. Kagamine Rin/Len)	Fragments	2012-07-09, 11:43 PM	14
Dixie Flatline	Juvenile (feat. Kagamine Rin/Len)	Fragments	2012-07-09, 11:43 PM	15
Dixie Flatline	Shinonome Scrumble (feat. Hatsune Miku)	Fragments	2012-07-09, 11:43 PM	31
Dixie Flatline	Sweetie Sweetie (feat. Hatsune Miku)	Fragments	2012-07-09, 11:43 PM	15
Ed Sheeran	Photograph	x (Deluxe Edition)	2014-11-09, 1:29 PM	16
Ed Sheeran	Tenerife Sea	x (Deluxe Edition)	2014-11-09, 1:29 PM	23
Ed Sheeran	The Man	x (Deluxe Edition)	2014-11-09, 1:29 PM	16
Ed Sheeran	Afire Love	x (Deluxe Edition)	2014-11-09, 1:29 PM	18
Ed Sheeran	Even My Dad Does Sometimes	x (Deluxe Edition)	2014-11-09, 1:29 PM	14
Ed Sheeran	I See Fire	x (Deluxe Edition)	2014-11-09, 1:29 PM	11
Epik High	High Technology	[e]	2015-06-15, 5:36 PM	20
Epik High	Love Love Love	Remapping the Human Soul	2015-07-26, 10:43 PM	12
Epik High	막을 올리며	Shoebox	2015-06-13, 12:57 PM	18
Epik High	헤픈엔딩 (Feat. 조원선 of 롤러코스터)	Shoebox	2015-06-13, 12:57 PM	22
Epik High	RICH (Feat. 태양)	Shoebox	2015-06-13, 12:57 PM	19
Epik High	부르즈 할리파 (Feat. 얀키, 개코)	Shoebox	2015-06-13, 12:57 PM	34
Epik High	또 싸워 (Feat. 윤하)	Shoebox	2015-06-13, 12:57 PM	22
Epik High	AMOR FATI (Feat. 김종완 of 넬)	Shoebox	2015-06-13, 12:57 PM	14
Epik High	BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)	Shoebox	2015-06-13, 12:57 PM	22
Epik High	LESSON 5 (타임라인)	Shoebox	2015-06-13, 12:57 PM	13
Epik High	LIFE IS GOOD (Feat. 박재범)	Shoebox	2015-06-13, 12:57 PM	21
Epik High	EYES NOSE LIPS (Feat. 태양)	Shoebox	2015-06-13, 12:57 PM	15
Epik High	신발장 (Feat. MYK)	Shoebox	2015-06-13, 12:57 PM	15
EXO	으르렁 Growl	XOXO (Repackage)	2014-10-31, 3:07 AM	11
EXO	나비소녀 Don't Go	XOXO (Repackage)	2014-10-31, 3:07 AM	20
EXO	피터팬 Peter Pan	XOXO (Repackage)	2014-10-31, 3:07 AM	11
EXO	12월의 기적 Miracles in December	Miracles in December	2014-10-31, 3:10 AM	25
G-Dragon	삐딱하게 (Crooked)	COUP D`ETAT	2014-11-21, 5:52 PM	13
G-Dragon	그XX	One Of A Kind	2014-11-21, 5:53 PM	12
G-Dragon	결국 (Feat. ? of YG New Girl Group)	One Of A Kind	2014-11-21, 5:53 PM	13
GD X TAEYANG	GOOD BOY	GOOD BOY	2015-05-17, 3:48 PM	26
Giriboy	시간이 날 기다려 (Tik Tok) (Feat. Swings & 임성현)	치명적인 앨범	2015-08-17, 5:08 PM	12
Girl's Day	여자 대통령	여자 대통령	2015-07-01, 5:25 PM	29
Goose house	Sing 2015	Bitter	2015-05-21, 3:01 PM	13
Goose house	光るなら	Milk	2015-05-21, 2:57 PM	11
Goose house	オトノナルホウヘ→	Milk	2015-05-21, 2:57 PM	11
hyukoh	Ohio	20	2015-08-11, 11:00 PM	12
hyukoh	위잉위잉  	20	2015-08-11, 11:00 PM	14
hyukoh	와리가리  	22	2015-08-11, 11:00 PM	17
hyukoh	큰새  	22	2015-08-11, 11:00 PM	11
Hyuna	Run & Run (Intro)	A+	2015-08-21, 3:16 PM	36
Hyuna	잘나가서 그래 (Feat. 정일훈 Of BTOB)	A+	2015-08-21, 3:16 PM	26
Hyuna	얼음 땡 (Ice Ice) (Feat. 육지담)	A+	2015-08-21, 3:16 PM	22
Hyuna	내 집에서 나가 (Feat. 권정열 Of 10cm)	A+	2015-08-21, 3:16 PM	40
Imagine Dragons	Tiptoe	Night Visions	2014-11-01, 1:19 AM	13
Imagine Dragons	It's Time	Night Visions	2014-11-01, 1:19 AM	16
IU	나의 옛날이야기	Flower Bookmark	2014-11-01, 2:14 AM	19
IU	비밀 Secret	Last Fantasy	2011-11-29, 5:05 AM	17
IU	너랑 나 You & I	Last Fantasy	2011-11-29, 5:05 AM	18
IU	벽지무늬 Wallpaper Pattern	Last Fantasy	2011-11-29, 5:05 AM	11
IU	삼촌 Uncle (feat. Lee Juck)	Last Fantasy	2011-11-29, 5:05 AM	13
IU	Teacher (feat. Ra.D)	Last Fantasy	2011-11-29, 5:05 AM	11
IU	Modern Times	Modern Times	2014-11-02, 1:51 PM	12
IU	아이야 나랑 걷자 (Feat. 최백호)	Modern Times	2014-11-02, 1:51 PM	12
IU	Monday Afternoon	Monday Afternoon - EP	2015-07-21, 4:24 AM	13
IU	Peach	Spring of a Twenty Year Old	2014-11-02, 1:44 PM	13
IU	Heart	Heart - Single	2015-06-15, 3:33 PM	23
John Mayer	Dear Marie	Paradise Valley	2014-12-24, 6:33 PM	13
John Mayer	On The Way Home	Paradise Valley	2014-12-24, 6:33 PM	17
Kim Bo Kyung	Brand New Day	the FIRST DAY (EP)	2014-11-01, 12:59 AM	12
Kim Bo Kyung	Suddenly	시티헌터 OST Part.4	2014-11-01, 1:07 AM	16
livetune	DECORATOR	DECORATOR EP	2014-10-31, 1:42 AM	26
livetune	Packaged (Shipping in 2013 remix)	DECORATOR EP	2014-10-31, 1:42 AM	41
livetune	Connection	DECORATOR EP	2014-10-31, 1:42 AM	45
livetune	Pink or Black	DECORATOR EP	2014-10-31, 1:42 AM	35
livetune	Long Way From Here	DECORATOR EP	2014-10-31, 1:42 AM	20
livetune	Andante	DECORATOR EP	2014-10-31, 1:42 AM	20
livetune	Yellow (Re:Dialed)	Re:Dial	2014-12-04, 4:59 PM	19
livetune	Spectrum feat. Matthew Koma	Spectrum feat. Matthew Koma	2014-12-04, 5:00 PM	13
livetune	Dear You	To	2014-12-04, 4:57 PM	15
livetune	Take Your Way (livetune Remix)	To	2014-12-04, 4:57 PM	11
livetune	Ray (feat. Hatsune Miku)	To	2014-12-04, 4:57 PM	23
LUVRAW	ANATATO	SPACE☆DANDY O.S.T.1 BEST HIT BBP	2015-09-16, 4:23 PM	21
Madeon	Pay No Mind (feat. Passion Pit)	Adventure (Deluxe)	2015-10-03, 7:29 PM	11
Matt Nathanson	Kiss Quick	Modern Love	2014-11-15, 8:51 PM	11
Matt Nathanson	Mercy	Modern Love	2014-11-15, 8:51 PM	12
Matt Nathanson	Drop To Hold You	Modern Love	2014-11-15, 8:51 PM	17
Matt Nathanson	Bottom Of The Sea	Modern Love	2014-11-15, 8:51 PM	12
Mighty Mouth	나쁜놈	나쁜놈	2014-11-01, 12:57 AM	17
Miss A	Hush	Hush	2014-10-31, 3:02 AM	15
Nakajima Ai	What 'bout my star?@Formo	Macross Frontier Original Soundtrack - Nyan Furo	2014-11-21, 5:41 PM	12
Nakajima Megumi	Anata no Oto	Macross Frontier Original Soundtrack 2 - Nyan Tora.	2014-11-21, 5:41 PM	15
Nakajima Megumi	Seikan Hikou	Macross Frontier Original Soundtrack 2 - Nyan Tora.	2014-11-21, 5:41 PM	19
Nick Lachey	Whats Left Of Me	What's Left Of Me	2014-12-03, 2:03 AM	12
ONE OK ROCK	Mighty Long Fall	35xxxv	2015-05-21, 3:43 PM	15
ONE OK ROCK	Good Goodbye	35xxxv	2015-05-21, 3:43 PM	26
Orange Caramel	까탈레나 (Catallena)	The Third Single Catallena	2014-10-31, 3:14 AM	19
Owl City	Plant Life	All Thing Bright And Beautiful - Deluxe	2014-12-04, 4:54 PM	11
Owl City	Gold (Acoustic)	The Midsummer Station (Acoustic) - EP	2014-12-04, 4:45 PM	12
Owl City	Hello Seattle	Ocean Eyes	2014-12-04, 4:52 PM	11
Owl City	Tokyo (feat. SEKAI NO OWARI)	Tokyo (feat. SEKAI NO OWARI) - Single	2014-12-04, 5:25 PM	16
Owl City	Beautiful Times (feat. Lindsey Stirling)	Ultraviolet	2014-11-15, 9:47 PM	11
Owl City	Up All Night	Ultraviolet	2014-11-15, 9:47 PM	11
Owl City	Wolf Bite	Ultraviolet	2014-11-15, 9:47 PM	16
Perfume	Pick Me Up	Relax In The City / Pick Me Up	2015-05-01, 7:49 PM	13
Porter Robinson	Years of War (feat. Breanne Duren & Sean Caskey)	Worlds	2015-01-02, 5:00 PM	25
Porter Robinson	Flicker	Worlds	2015-01-02, 5:00 PM	11
Primary	마네퀸 (feat. Beenzino, 수란) (Mannequin)	2	2015-08-17, 2:47 AM	11
Primary	러버 (feat. 오혁) (Rubber)	2	2015-08-17, 2:47 AM	12
Psy	Right Now	PSY FIVE	2014-11-01, 12:42 AM	14
Psy	오늘밤새	PSY FIVE	2014-11-01, 12:42 AM	21
Psy	예술이야	PSY FIVE	2014-11-01, 12:42 AM	11
Psy	미치도록	PSY FIVE	2014-11-01, 12:42 AM	14
Psy	솔직히 까고말해	PSY FIVE	2014-11-01, 12:42 AM	22
Purity Ring	Push Pull	Another Eternity	2015-06-15, 3:59 PM	11
Purity Ring	Begin Again	Another Eternity	2015-06-15, 3:59 PM	14
Royal Pirates	Shout Out	Shout Out	2014-10-31, 2:23 PM	15
Royal Pirates	Shout Out (Synth Rock Ver.)	Shout Out	2014-10-31, 2:23 PM	17
Sheryl Norm starring May'n	Welcome To My FanClub's Night! (Sheryl On Stage)	Macross Frontier Original Soundtrack - Nyan Furo	2014-11-21, 5:41 PM	12
Sheryl Norm starring May'n	What 'bout my star? (Sheryl On Stage)	Macross Frontier Original Soundtrack - Nyan Furo	2014-11-21, 5:41 PM	13
Sheryl Norm starring May'n	Iteza - Gogo 9ji - Don't be late (Sheryl On Stage)	Macross Frontier Original Soundtrack - Nyan Furo	2014-11-21, 5:41 PM	13
SHINee	Married To The Music	Married To The Music - The 4th Album Repackage	2015-08-09, 11:02 PM	13
Shutoku Mukai	Dandy in Love	SPACE☆DANDY O.S.T.1 BEST HIT BBP	2015-09-16, 4:23 PM	12
Simon Dominic	Cheers	SNL League Begins	2014-11-01, 12:41 AM	13
Tablo	나쁘다(feat. 진실)	Fever's End	2014-11-01, 12:48 AM	13
Tablo	고마운 숨 (feat. 얀키, 봉태규)	Fever's End	2014-11-01, 12:48 AM	13
Taeyang	Stay With Me (feat. G-DRAGON)	Rise	2015-09-21, 6:30 PM	13
Taeyang	When You Sleep (ft. Swings)	Solar	2014-11-01, 12:52 AM	12
TeddyLoid	ME!ME!ME! Part 1	ME!ME!ME! feat. daoko - Single	2015-06-16, 5:50 PM	13
TeddyLoid	ME!ME!ME! Part 3	ME!ME!ME! feat. daoko - Single	2015-06-16, 5:50 PM	37
Trouble Maker	내일은 없어	Chemistry	2014-11-04, 10:57 PM	13
Trouble Maker	이리 와 (Attention)	Chemistry	2014-11-04, 10:57 PM	11
WALK THE MOON	Shut Up and Dance	TALKING IS HARD	2015-07-09, 5:42 PM	12
Yoko Kanno	Test Flight Delight	Macross Frontier Original Soundtrack 2 - Nyan Tora.	2014-11-21, 5:41 PM	13
YUKI	プレイボール	playball / Sakamichi no Melody	2014-11-04, 10:52 PM	16
YUKI	坂道のメロディ	playball / Sakamichi no Melody	2014-11-04, 10:52 PM	14
Yun*chi	Shake you*	Asterisk*	2014-12-24, 6:40 PM	11
Yun*chi	Lucky Girl*	Lucky Girl* - EP	2015-10-11, 6:31 PM	11
Yun*chi	Wonderful Wonder World*	Wonderful Wonder World* - EP	2015-10-11, 6:31 PM	12
댄싱게놈 (유재석, JYP)	I'm So Sexy	무한도전 영동고속도로 가요제	2015-08-22, 1:53 PM	16
오준성	City Hunter (inst.)	시티헌터 OST Part.4	2014-11-01, 1:07 AM	13
오준성	NaNa's Theme (inst.)	시티헌터 OST Part.4	2014-11-01, 1:07 AM	17
으뜨거따시 (하하, 자이언티)	스폰서 ($ponsor)	무한도전 영동고속도로 가요제	2015-08-22, 1:53 PM	11
이유 갓지(GOD G) 않은 이유 (박명수, 아이유)	레옹	무한도전 영동고속도로 가요제	2015-08-22, 1:53 PM	13
ギガP	Masked bitcH (colate remix)	colate remix works	2015-01-27, 11:41 AM	28
さつき が てんこもり	Party Junkie (colate remix)	colate remix works	2015-01-27, 11:41 AM	15
八王子P	Find Me feat. Hatsune Miku	Twinkle World	2014-10-31, 1:46 AM	21
八王子P	Stockholm feat. Megurine Luka (ストックホルム)	Twinkle World	2014-10-31, 1:46 AM	20
八王子P	Tomorrow feat. Hatsune Miku	Twinkle World	2014-10-31, 1:46 AM	16
八王子P	GAME OVER	ViViD WAVE	2014-10-31, 8:56 PM	18
八王子P	SECRET GiRL	ViViD WAVE	2014-10-31, 8:56 PM	12
八王子P	Distorted Princess -SuketchP rmx-	Whiteout	2014-10-31, 8:59 PM	12
八王子P	KOOL -emon(Tes.) Remix-	Whiteout	2014-10-31, 8:59 PM	11
八王子P	Free	x x x x the ripper	2014-10-31, 9:02 PM	13
八王子P	KiLLER LADY	x x x x the ripper	2014-10-31, 9:02 PM	11
八王子P	Sweet Devil (8#Prince Raver Remix)	x x x x the ripper	2014-10-31, 9:02 PM	16
綾倉盟	monochrome	Blossom	2015-05-17, 3:31 AM	36
40mP	Torinoko City	Torinoko City	2014-11-12, 1:02 AM	15